,,,Total,Total,Total,1912,1912,1913,1913,1914,1914,1915,1915,1916,1916,1917,1917,1918,1918,1918,1919,1919,1920,1920,1921,1921,1922,1922,1923,1923,1924,1924,1925,1925,1926,1926,1927,1927,1928,1928,1929,1929,1930,1930,1931,1931,1932,1932,1933,1933,1934,1934,1935,1935,1936,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1943,1943,1944,1944,1945,1945,1946,1946,1947,1947,1948,1948,1948,1949,1949,1950,1950,1951,1951,1952,1952,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1958,1958,1959,1959,1960,1960,1961,1961,1962,1962,1963,1963,1964,1964,1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
,,,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto
 09 014 ,Benito Juárez,Diciembre,366,365,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,,2,2,,201,201,,150,149,1
 09 015 ,Cuauhtémoc,Total,"7,378","7,310",68,,,,,,,,,,,,,1,,1,1,1,,,1,1,1,1,4,4,3,3,2,2,4,4,10,10,9,9,5,5,10,10,15,15,7,7,12,12,7,7,16,16,9,9,8,8,10,10,2,2,9,9,4,4,14,14,11,11,8,8,11,11,10,10,13,13,9,9,,4,4,12,12,8,8,10,10,17,17,11,11,11,11,8,8,9,9,16,16,8,8,16,16,10,10,9,9,6,6,10,10,5,5,5,5,3,3,14,14,8,8,10,10,3,3,8,8,9,9,10,10,8,8,7,7,6,6,10,10,11,11,8,8,2,2,11,11,5,5,8,8,11,11,8,8,5,5,5,5,12,12,12,12,5,5,10,10,5,5,6,6,9,9,18,18,4,4,7,7,5,5,5,5,5,5,5,5,9,9,11,11,7,7,15,15,13,13,9,9,35,35,48,48,71,71,103,103,,139,139,,"1,178","1,174",4,"5,061","4,998",63
 09 015 ,Cuauhtémoc,Enero,657,651,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,4,4,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,3,3,1,1,,2,2,1,1,,,1,1,,,,,,,1,1,,,1,1,2,2,3,3,,,2,2,,,1,1,,,2,2,,,2,2,3,3,1,1,,,,,2,2,1,1,1,1,1,1,,,1,1,,,1,1,,,,,,,2,2,1,1,,,,,,,3,3,1,1,,,,,,,1,1,,,,,,,,,,,2,2,1,1,,,,,,,1,1,1,1,3,3,,,3,3,1,1,6,6,11,11,,11,11,,21,21,,535,529,6
 09 015 ,Cuauhtémoc,Febrero,524,517,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,1,1,,,1,1,,,1,1,,,,,,,,,1,1,1,1,3,3,1,1,1,1,1,1,,,1,1,2,2,,,,,,,,2,2,2,2,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,1,1,,,1,1,,,1,1,1,1,,,1,1,,,,,,,1,1,2,2,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,2,2,,,1,1,,,1,1,,,,,3,3,,,2,2,1,1,1,1,1,1,1,1,1,1,6,6,7,7,,5,5,,9,9,,444,437,7
 09 015 ,Cuauhtémoc,Marzo,628,622,6,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,,,4,4,,,1,1,,,1,1,1,1,2,2,,,,,1,1,1,1,2,2,,,,,1,1,,,,,,,,1,1,,,2,2,1,1,,,1,1,,,1,1,1,1,1,1,,,1,1,1,1,,,2,2,,,,,,,,,3,3,,,,,,,2,2,,,,,1,1,,,1,1,,,,,3,3,,,,,1,1,,,2,2,,,,,1,1,1,1,3,3,1,1,2,2,,,2,2,,,,,1,1,1,1,,,,,1,1,,,1,1,,,,,3,3,,,3,3,7,7,8,8,6,6,8,8,,9,9,,17,16,1,510,505,5
 09 015 ,Cuauhtémoc,Abril,603,601,2,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,1,1,1,1,,,1,1,,,1,1,,,1,1,,,,,2,2,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,1,1,1,1,,,2,2,1,1,1,1,2,2,,,,,2,2,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,1,1,2,2,,,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,,,,,2,2,,,,,1,1,1,1,1,1,,,2,2,1,1,,,2,2,2,2,3,3,10,10,,11,11,,23,23,,503,501,2
 09 015 ,Cuauhtémoc,Mayo,594,589,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,2,2,1,1,3,3,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,3,3,,,,,,,,,,,,,,3,3,,,,,2,2,3,3,1,1,,,2,2,,,3,3,1,1,,,1,1,1,1,,,1,1,1,1,,,1,1,,,2,2,,,1,1,1,1,1,1,1,1,1,1,,,2,2,2,2,,,,,1,1,,,,,,,,,1,1,,,,,1,1,1,1,,,1,1,1,1,,,,,,,2,2,1,1,,,1,1,2,2,,,,,2,2,1,1,,,1,1,3,3,7,7,6,6,5,5,,12,12,,16,16,,478,473,5
 09 015 ,Cuauhtémoc,Junio,587,581,6,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,2,2,,,,,1,1,1,1,,,1,1,1,1,1,1,,,1,1,2,2,1,1,,,1,1,,,1,1,,,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,2,2,3,3,1,1,2,2,,,,,,,2,2,3,3,,,,,,,1,1,,,3,3,1,1,,,,,,,1,1,,,,,,,1,1,1,1,,,1,1,1,1,1,1,,,,,1,1,1,1,2,2,1,1,1,1,,,,,1,1,,,1,1,,,1,1,,,,,1,1,1,1,1,1,,,1,1,,,,,,,,,2,2,,,2,2,2,2,,,2,2,,,6,6,7,7,,8,8,,28,28,,471,465,6
 09 015 ,Cuauhtémoc,Julio,630,624,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,1,,,2,2,,,2,2,,,2,2,1,1,,,,,,,1,1,,,,,,,1,1,,,,,3,3,,,,1,1,1,1,1,1,1,1,3,3,1,1,1,1,,,1,1,2,2,,,3,3,2,2,,,1,1,1,1,,,,,,,2,2,,,1,1,,,1,1,2,2,,,1,1,,,,,1,1,,,,,,,1,1,1,1,,,,,,,,,3,3,1,1,1,1,1,1,2,2,1,1,1,1,,,3,3,,,1,1,,,,,,,,,,,2,2,2,2,,,2,2,1,1,1,1,3,3,4,4,9,9,,10,10,,54,54,,483,477,6
 09 015 ,Cuauhtémoc,Agosto,627,621,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,1,,,1,1,,,1,1,2,2,1,1,,,2,2,1,1,,,,,,,1,1,,,,,3,3,2,2,2,2,1,1,,,,,,,,2,2,3,3,1,1,2,2,,,,,2,2,,,2,2,,,,,,,3,3,,,1,1,,,2,2,1,1,3,3,,,1,1,,,4,4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,2,2,3,3,,,,,1,1,1,1,,,1,1,,,,,,,2,2,1,1,,,,,,,,,1,1,1,1,,,,,2,2,1,1,2,2,2,2,4,4,2,2,6,6,,15,15,,77,77,,449,443,6
 09 015 ,Cuauhtémoc,Septiembre,614,609,5,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,2,2,1,1,1,1,1,1,2,2,,,1,1,1,1,,,,,2,2,1,1,,,2,2,1,1,,,,,1,1,,,,,,2,2,,,1,1,,,,,2,2,3,3,,,,,,,2,2,,,1,1,1,1,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,1,1,1,1,1,1,,,3,3,2,2,,,,,,,,,2,2,,,,,,,,,,,1,1,1,1,5,5,5,5,6,6,6,6,,16,16,,111,111,,417,413,4
 09 015 ,Cuauhtémoc,Octubre,655,647,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,,,1,1,1,1,1,1,2,2,,,1,1,1,1,1,1,,,,,2,2,,,2,2,,,,,1,1,1,1,2,2,1,1,,,,1,1,,,,,1,1,3,3,,,1,1,2,2,2,2,1,1,,,1,1,1,1,,,,,2,2,,,1,1,3,3,,,1,1,,,,,1,1,,,,,1,1,1,1,,,2,2,,,,,3,3,,,,,,,2,2,2,2,,,,,2,2,,,3,3,1,1,,,4,4,2,2,,,,,,,,,,,1,1,2,2,2,2,,,,,,,,,4,4,4,4,10,10,11,11,,16,16,,158,158,,383,375,8
 09 015 ,Cuauhtémoc,Noviembre,599,595,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,1,1,1,1,2,2,,,,,,,2,2,,,1,1,,,1,1,,,2,2,,,,,,,,,,,,,,3,3,,,,,2,2,1,1,2,2,,,,,,,1,1,,,,,,,,,1,1,,,1,1,1,1,,,2,2,2,2,1,1,,,1,1,1,1,3,3,,,1,1,,,2,2,2,2,1,1,,,,,1,1,,,1,1,,,,,,,1,1,3,3,1,1,2,2,,,2,2,,,,,,,1,1,,,1,1,,,,,3,3,6,6,11,11,11,11,,14,14,,236,235,1,265,262,3
 09 015 ,Cuauhtémoc,Diciembre,660,653,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,2,2,1,1,1,1,,,,,1,1,1,1,,,2,2,,,,,,,1,1,2,2,,,3,3,3,3,,,2,2,,,,2,2,2,2,,,3,3,2,2,,,,,,,1,1,1,1,1,1,4,4,2,2,,,1,1,,,1,1,1,1,,,,,,,1,1,,,2,2,,,,,,,2,2,1,1,3,3,,,,,1,1,,,1,1,2,2,1,1,,,,,3,3,1,1,,,,,,,,,,,2,2,,,,,1,1,,,,,,,1,1,3,3,,,2,2,2,2,,,2,2,7,7,5,5,12,12,,12,12,,428,426,2,123,118,5
 09 016 ,Miguel Hidalgo,Total,"4,774","4,746",28,,,,,,,,,,,1,1,,,,1,1,,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,,,,,,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,,2,2,2,2,1,1,2,2,2,2,1,1,1,1,4,4,,,1,1,,,,,1,1,2,2,1,1,2,2,,,2,2,,,,,,,,,1,1,,,6,6,1,1,2,2,1,1,,,,,1,1,,,3,3,,,1,1,1,1,2,2,,,2,2,,,4,4,1,1,1,1,2,2,2,2,1,1,1,1,,,3,3,1,1,1,1,1,1,1,1,3,3,5,5,1,1,,,2,2,2,2,2,2,6,6,11,11,22,22,35,35,,41,41,,578,573,5,"3,971","3,948",23
 09 016 ,Miguel Hidalgo,Enero,422,421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,1,1,,,2,2,,4,4,,3,3,,404,403,1
 09 016 ,Miguel Hidalgo,Febrero,376,374,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,2,2,2,2,2,2,1,1,,,,,8,8,,352,350,2
 09 016 ,Miguel Hidalgo,Marzo,389,388,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,1,1,,10,10,,363,362,1
 09 016 ,Miguel Hidalgo,Abril,386,383,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,2,2,4,4,4,4,,1,1,,4,4,,362,359,3
 09 016 ,Miguel Hidalgo,Mayo,397,396,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,2,2,,3,3,,12,11,1,369,369,
 09 016 ,Miguel Hidalgo,Junio,384,382,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,3,3,,5,5,,14,14,,356,354,2
 09 016 ,Miguel Hidalgo,Julio,412,408,4,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,2,2,3,3,,4,4,,22,21,1,372,369,3
 09 016 ,Miguel Hidalgo,Agosto,394,390,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,4,4,2,2,,6,6,,35,35,,336,332,4
 09 016 ,Miguel Hidalgo,Septiembre,396,391,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,1,1,2,2,4,4,,2,2,,29,29,,343,338,5
 09 016 ,Miguel Hidalgo,Octubre,399,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,2,2,1,1,4,4,,6,6,,77,77,,300,300,
 09 016 ,Miguel Hidalgo,Noviembre,409,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,1,1,4,4,,3,3,,123,123,,269,269,
 09 016 ,Miguel Hidalgo,Diciembre,410,405,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,1,1,4,4,,6,6,,241,238,3,145,143,2
 09 017 ,Venustiano Carranza,Total,"6,025","5,975",50,,,,,,,,,,,,,1,1,,,,1,1,,,1,1,,,1,1,6,6,,,2,2,1,1,1,1,5,5,3,3,1,1,1,1,1,1,2,2,2,2,1,1,3,3,3,3,1,1,,,1,1,3,3,2,2,2,2,4,4,4,4,3,3,,,,2,2,1,1,3,3,2,2,5,5,6,6,1,1,,,3,3,1,1,2,2,3,3,5,5,1,1,3,3,2,2,2,2,5,5,2,2,1,1,1,1,3,3,1,1,2,2,3,3,1,1,,,3,3,,,2,2,,,3,3,1,1,5,5,,,3,3,2,2,1,1,,,1,1,,,1,1,1,1,2,2,,,2,2,7,7,4,4,2,2,4,4,1,1,,,3,3,4,4,5,5,4,4,3,3,5,5,7,7,19,19,29,29,52,52,70,70,,123,123,,"1,051","1,042",9,"4,488","4,447",41
 09 017 ,Venustiano Carranza,Enero,503,501,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,2,2,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,1,1,2,2,6,6,,8,8,,13,13,,456,454,2
 09 017 ,Venustiano Carranza,Febrero,415,411,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,2,2,1,1,2,2,2,2,,12,12,,12,12,,373,369,4
 09 017 ,Venustiano Carranza,Marzo,501,498,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,1,1,4,4,1,1,4,4,5,5,,7,7,,20,20,,445,442,3
 09 017 ,Venustiano Carranza,Abril,502,500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,3,3,4,4,4,4,,8,8,,30,30,,438,436,2
 09 017 ,Venustiano Carranza,Mayo,471,467,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,2,3,3,5,5,,6,6,,28,28,,412,408,4
 09 017 ,Venustiano Carranza,Junio,516,513,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,1,1,2,2,6,6,7,7,,10,10,,27,26,1,449,447,2
 09 017 ,Venustiano Carranza,Julio,496,494,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,2,,,,,,,,,1,1,,,1,1,,,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,,2,2,1,1,,,,,1,1,,,1,1,2,2,,,1,1,2,2,4,4,5,5,6,6,,8,8,,47,47,,400,398,2
 09 017 ,Venustiano Carranza,Agosto,544,537,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,2,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,2,2,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,,,,,,,,,,,,,,,1,1,,,2,2,3,3,7,7,8,8,,14,14,,62,61,1,424,418,6
 09 017 ,Venustiano Carranza,Septiembre,550,544,6,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,4,4,9,9,,16,16,,95,94,1,410,405,5
 09 017 ,Venustiano Carranza,Octubre,521,518,3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,3,3,4,4,4,4,6,6,,12,12,,135,135,,344,341,3
 09 017 ,Venustiano Carranza,Noviembre,491,486,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,1,1,3,3,3,3,7,7,,10,10,,205,203,2,250,247,3
 09 017 ,Venustiano Carranza,Diciembre,515,506,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,3,3,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,2,2,4,4,8,8,5,5,,12,12,,377,373,4,87,82,5
