,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1998,Enero,,,,,,,,,346,,,,,,,,,,,,,,,,,
1998,Febrero,,,,,,,,,323,,,,,,,,,,,,,,,,,
1998,Marzo,,,,,,,,,289,,,,,,,,,,,,,,,,,
1998,Abril,,,,,,,,,276,,,,,,,,,,,,,,,,,
1998,Mayo,,,,,,,,,263,,,,,,,,,,,,,,,,,
1998,Junio,,,,,,,,,281,,,,,,,,,,,,,,,,,
1998,Julio,,,,,,,,,305,,,,,,,,,,,,,,,,,
1998,Agosto,,,,,,,,,297,,,,,,,,,,,,,,,,,
1998,Septiembre,,,,,,,,,279,,,,,,,,,,,,,,,,,
1998,Octubre,,,,,,,,,311,,,,,,,,,,,,,,,,,
1998,Noviembre,,,,,,,,,310,,,,,,,,,,,,,,,,,
1998,Diciembre,,,,,,,,,388,11,,,,,,,,,,,,,,,,
1998,No especificado,,,,,,,,,4,,,,,,,,,,,,,,,,,
1999,Total,,,,,,,,,,"3,312",7,,,,,,,,,,,,,,,
1999,Enero,,,,,,,,,,368,1,,,,,,,,,,,,,,,
1999,Febrero,,,,,,,,,,268,,,,,,,,,,,,,,,,
1999,Marzo,,,,,,,,,,273,,,,,,,,,,,,,,,,
1999,Abril,,,,,,,,,,236,,,,,,,,,,,,,,,,
1999,Mayo,,,,,,,,,,282,,,,,,,,,,,,,,,,
1999,Junio,,,,,,,,,,223,,,,,,,,,,,,,,,,
1999,Julio,,,,,,,,,,250,,,,,,,,,,,,,,,,
1999,Agosto,,,,,,,,,,252,,,,,,,,,,,,,,,,
1999,Septiembre,,,,,,,,,,237,,,,,,,,,,,,,,,,
1999,Octubre,,,,,,,,,,280,,,,,,,,,,,,,,,,
1999,Noviembre,,,,,,,,,,291,2,,,,,,,,,,,,,,,
1999,Diciembre,,,,,,,,,,351,4,,,,,,,,,,,,,,,
1999,No especificado,,,,,,,,,,1,,,,,,,,,,,,,,,,
2000,Total,,,,,,,,,,,"3,120",11,,,,1,,,,,,,,,,
2000,Enero,,,,,,,,,,,319,1,,,,,,,,,,,,,,
2000,Febrero,,,,,,,,,,,260,,,,,,,,,,,,,,,
2000,Marzo,,,,,,,,,,,212,,,,,,,,,,,,,,,
2000,Abril,,,,,,,,,,,228,,,,,,,,,,,,,,,
2000,Mayo,,,,,,,,,,,271,,,,,,,,,,,,,,,
2000,Junio,,,,,,,,,,,250,,,,,,,,,,,,,,,
2000,Julio,,,,,,,,,,,264,,,,,,,,,,,,,,,
2000,Agosto,,,,,,,,,,,250,,,,,,,,,,,,,,,
2000,Septiembre,,,,,,,,,,,229,,,,,,,,,,,,,,,
2000,Octubre,,,,,,,,,,,268,,,,,,,,,,,,,,,
2000,Noviembre,,,,,,,,,,,253,2,,,,,,,,,,,,,,
2000,Diciembre,,,,,,,,,,,316,8,,,,1,,,,,,,,,,
2001,Total,,,,,,,,,,,,"2,883",13,,,,,,,,,,,,,
2001,Enero,,,,,,,,,,,,278,5,,,,,,,,,,,,,
2001,Febrero,,,,,,,,,,,,221,1,,,,,,,,,,,,,
2001,Marzo,,,,,,,,,,,,246,1,,,,,,,,,,,,,
2001,Abril,,,,,,,,,,,,218,,,,,,,,,,,,,,
2001,Mayo,,,,,,,,,,,,218,,,,,,,,,,,,,,
2001,Junio,,,,,,,,,,,,230,,,,,,,,,,,,,,
2001,Julio,,,,,,,,,,,,213,,,,,,,,,,,,,,
2001,Agosto,,,,,,,,,,,,239,,,,,,,,,,,,,,
2001,Septiembre,,,,,,,,,,,,214,,,,,,,,,,,,,,
2001,Octubre,,,,,,,,,,,,260,,,,,,,,,,,,,,
2001,Noviembre,,,,,,,,,,,,243,,,,,,,,,,,,,,
2001,Diciembre,,,,,,,,,,,,303,6,,,,,,,,,,,,,
2002,Total,,,,,,,,,,,,,"2,845",13,,,,,,,,,,,,
2002,Enero,,,,,,,,,,,,,320,1,,,,,,,,,,,,
2002,Febrero,,,,,,,,,,,,,214,,,,,,,,,,,,,
2002,Marzo,,,,,,,,,,,,,229,,,,,,,,,,,,,
2002,Abril,,,,,,,,,,,,,219,,,,,,,,,,,,,
2002,Mayo,,,,,,,,,,,,,240,,,,,,,,,,,,,
2002,Junio,,,,,,,,,,,,,215,1,,,,,,,,,,,,
2002,Julio,,,,,,,,,,,,,237,,,,,,,,,,,,,
2002,Agosto,,,,,,,,,,,,,206,,,,,,,,,,,,,
2002,Septiembre,,,,,,,,,,,,,221,,,,,,,,,,,,,
2002,Octubre,,,,,,,,,,,,,255,,,,,,,,,,,,,
2002,Noviembre,,,,,,,,,,,,,237,1,,,,,,,,,,,,
2002,Diciembre,,,,,,,,,,,,,252,10,,,,,,,,,,,,
2003,Total,,,,,,,,,,,,,,"2,794",22,,1,,,,,,,,,
2003,Enero,,,,,,,,,,,,,,277,1,,,,,,,,,,,
2003,Febrero,,,,,,,,,,,,,,216,,,,,,,,,,,,
2003,Marzo,,,,,,,,,,,,,,251,,,,,,,,,,,,
2003,Abril,,,,,,,,,,,,,,189,,,,,,,,,,,,
2003,Mayo,,,,,,,,,,,,,,210,,,,,,,,,,,,
2003,Junio,,,,,,,,,,,,,,210,,,,,,,,,,,,
2003,Julio,,,,,,,,,,,,,,213,,,,,,,,,,,,
2003,Agosto,,,,,,,,,,,,,,245,,,,,,,,,,,,
2003,Septiembre,,,,,,,,,,,,,,209,,,,,,,,,,,,
2003,Octubre,,,,,,,,,,,,,,239,,,,,,,,,,,,
2003,Noviembre,,,,,,,,,,,,,,205,,,,,,,,,,,,
2003,Diciembre,,,,,,,,,,,,,,330,21,,1,,,,,,,,,
2004,Total,,,,,,,,,,,,,,,"2,654",16,,,,,,,,,,
2004,Enero,,,,,,,,,,,,,,,306,,,,,,,,,,,
2004,Febrero,,,,,,,,,,,,,,,227,,,,,,,,,,,
2004,Marzo,,,,,,,,,,,,,,,214,,,,,,,,,,,
2004,Abril,,,,,,,,,,,,,,,201,,,,,,,,,,,
2004,Mayo,,,,,,,,,,,,,,,184,,,,,,,,,,,
2004,Junio,,,,,,,,,,,,,,,183,,,,,,,,,,,
2004,Julio,,,,,,,,,,,,,,,235,,,,,,,,,,,
2004,Agosto,,,,,,,,,,,,,,,195,,,,,,,,,,,
2004,Septiembre,,,,,,,,,,,,,,,204,,,,,,,,,,,
2004,Octubre,,,,,,,,,,,,,,,224,,,,,,,,,,,
2004,Noviembre,,,,,,,,,,,,,,,226,,,,,,,,,,,
2004,Diciembre,,,,,,,,,,,,,,,255,16,,,,,,,,,,
